Freq[Hz]        [dBSPL]         Phase[Deg]
538.30          67.90           -0.73
540.52          68.11           -4.57
542.74          68.40           -8.76
544.97          68.69           -13.22
547.22          68.96           -17.40
549.47          69.24           -22.26
551.73          69.49           -27.04
554.00          69.75           -32.16
556.28          69.96           -37.22
558.56          70.21           -43.20
560.86          70.40           -49.20
563.17          70.58           -55.47
565.48          70.73           -61.74
567.81          70.89           -68.09
570.15          71.00           -74.43
572.49          71.11           -80.72
574.85          71.14           -87.09
577.21          71.18           -93.46
579.59          71.20           -100.05
581.97          71.19           -106.63
584.36          71.17           -113.12
586.77          71.13           -119.82
589.18          71.06           -126.11
591.60          70.97           -132.62
594.04          70.87           -138.45
596.48          70.81           -143.95
598.93          70.72           -149.73
601.40          70.64           -155.65
603.87          70.51           -161.22
606.36          70.42           -166.67
608.85          70.34           -172.42
611.35          70.31           -177.95
613.87          70.25           176.53
616.39          70.19           171.34
618.93          70.21           165.73
621.47          70.19           160.58
624.03          70.19           155.64
626.60          70.23           150.15
629.18          70.34           144.63
631.76          70.42           138.89
634.36          70.53           132.59
636.97          70.64           126.45
639.59          70.76           120.55
642.22          70.84           114.24
644.86          70.93           107.67
647.52          71.03           101.01
650.18          71.09           94.04
652.85          71.13           86.99
655.54          71.16           79.47
658.24          71.13           72.59
660.94          71.11           65.08
663.66          71.06           57.34
666.39          70.96           49.76
669.13          70.79           42.63
671.89          70.58           35.13
674.65          70.31           28.34
677.42          70.03           21.49
680.21          69.69           15.13
683.01          69.35           9.32
685.82          69.00           4.11
688.64          68.59           -0.09
691.47          68.16           -3.86
694.32          67.78           -7.37
697.17          67.43           -10.73
700.04          67.19           -14.29
702.92          67.03           -17.39
705.81          67.02           -20.66
708.71          67.15           -23.46
711.63          67.33           -26.84
714.56          67.55           -30.40
717.50          67.82           -34.14
720.45          68.14           -38.16
723.41          68.45           -42.92
726.39          68.77           -48.08
729.37          69.02           -54.08
732.37          69.25           -60.94
735.39          69.50           -68.05
738.41          69.72           -75.39
741.45          69.90           -82.55
744.50          70.02           -90.00
747.56          70.11           -97.44
750.64          70.20           -104.99
753.72          70.27           -112.88
756.82          70.31           -120.27
759.94          70.37           -127.44
763.06          70.41           -134.94
766.20          70.44           -142.05
769.35          70.46           -149.50
772.52          70.50           -156.94
775.69          70.55           -164.08
778.89          70.59           -171.12
782.09          70.63           -178.40
785.31          70.65           174.48
788.54          70.72           166.98
791.78          70.78           159.67
795.04          70.83           152.13
798.31          70.84           144.82
801.59          70.87           137.19
804.89          70.88           129.35
808.20          70.85           121.44
811.52          70.86           113.92
814.86          70.87           106.04
818.21          70.88           98.75
821.58          70.84           91.71
824.96          70.82           84.44
828.35          70.80           77.13
831.76          70.77           70.09
835.18          70.75           62.99
838.62          70.71           55.88
842.06          70.70           48.65
845.53          70.68           41.64
849.01          70.70           34.52
852.50          70.69           27.80
856.01          70.73           21.12
859.53          70.82           14.37
863.06          70.88           7.34
866.61          70.95           0.49
870.18          71.03           -6.59
873.76          71.12           -14.39
877.35          71.23           -22.00
880.96          71.30           -29.52
884.58          71.41           -37.24
888.22          71.48           -45.14
891.87          71.57           -52.99
895.54          71.64           -60.75
899.23          71.72           -68.74
902.93          71.76           -76.69
906.64          71.80           -84.66
910.37          71.84           -92.81
914.11          71.88           -100.82
917.87          71.93           -109.00
921.65          71.97           -117.41
925.44          72.02           -125.68
929.25          72.08           -133.82
933.07          72.11           -142.04
936.91          72.19           -150.36
940.76          72.23           -158.87
944.63          72.32           -167.33
948.52          72.39           -175.99
952.42          72.44           175.50
956.33          72.51           166.98
960.27          72.61           158.21
964.22          72.74           149.61
